Tm,W,L,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
Buffalo Bills*,11,3,0.786,445,310,135,9.6,0.4,10.1,9.4,0.7
Miami Dolphins,6,8,0.429,276,312,-36,-2.6,-0.9,-3.5,-3.8,0.3
New York Jets,4,10,0.286,283,325,-42,-3.0,-0.3,-3.3,-2.3,-1.0
New England Patriots,3,11,0.214,238,337,-99,-7.1,-1.8,-8.9,-6.4,-2.5
Pittsburgh Steelers*,10,4,0.714,336,265,71,5.1,-1.5,3.6,0.6,3.0
Baltimore Ravens+,9,5,0.643,418,332,86,6.1,0.8,7.0,6.9,0.0
Cincinnati Bengals,6,8,0.429,399,387,12,0.9,-1.6,-0.7,5.3,-6.0
Cleveland Browns,3,11,0.214,239,356,-117,-8.4,0.2,-8.1,-5.5,-2.7
Houston Texans*,9,5,0.643,328,300,28,2.0,-0.8,1.2,0.2,1.1
Indianapolis Colts,6,8,0.429,280,329,-49,-3.5,1.4,-2.1,-2.0,-0.1
Jacksonville Jaguars,3,11,0.214,263,377,-114,-8.1,1.0,-7.2,-3.3,-3.9
Tennessee Titans,3,11,0.214,254,379,-125,-8.9,1.4,-7.5,-4.4,-3.1
Kansas City Chiefs*,13,1,0.929,329,259,70,5.0,-0.7,4.3,-0.2,4.5
Los Angeles Chargers+,9,6,0.6,328,274,54,3.6,-0.5,3.1,-1.4,4.4
Denver Broncos+,9,6,0.6,363,281,82,5.5,-1.3,4.2,1.1,3.1
Las Vegas Raiders,2,12,0.143,245,376,-131,-9.4,0.8,-8.6,-4.9,-3.6
Philadelphia Eagles*,12,2,0.857,369,247,122,8.7,-1.4,7.3,2.0,5.3
Washington Commanders+,9,5,0.643,396,315,81,5.8,-2.2,3.6,4.6,-1.0
Dallas Cowboys,6,8,0.429,298,380,-82,-5.9,-0.5,-6.3,-1.8,-4.5
New York Giants,2,12,0.143,208,328,-120,-8.6,0.0,-8.5,-9.2,0.6
Detroit Lions*,12,2,0.857,459,282,177,12.6,1.2,13.9,10.1,3.8
Minnesota Vikings*,12,2,0.857,369,252,117,8.4,-0.9,7.5,3.7,3.8
Green Bay Packers+,10,4,0.714,379,287,92,6.6,1.8,8.4,5.3,3.1
Chicago Bears,4,10,0.286,266,308,-42,-3.0,0.5,-2.5,-3.9,1.4
Tampa Bay Buccaneers*,8,6,0.571,403,326,77,5.5,0.5,6.0,6.5,-0.5
Atlanta Falcons,7,7,0.5,293,342,-49,-3.5,0.8,-2.7,-1.4,-1.3
New Orleans Saints,5,9,0.357,309,312,-3,-0.2,-2.0,-2.2,-1.5,-0.7
Carolina Panthers,3,11,0.214,247,418,-171,-12.2,-0.6,-12.8,-5.2,-7.6
Los Angeles Rams*,8,6,0.571,310,338,-28,-2.0,1.9,-0.1,0.4,-0.5
Seattle Seahawks,8,6,0.571,315,313,2,0.1,1.0,1.1,0.4,0.7
Arizona Cardinals,7,7,0.5,314,306,8,0.6,2.1,2.6,0.5,2.1
San Francisco 49ers,6,8,0.429,314,320,-6,-0.4,1.2,0.8,0.0,0.8
